0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
,As per 1 January 2024,,,,1 736,,,17 620,,,(3 465),,,54 896,,,(31 155),,,42 215,,,81 848,,,10 828,,,92 676,
,Profit of the period,,,,-,,,-,,,-,,,-,,,-,,,5 855,,,5 855,,,1 561,,,7 416,
,Other comprehensive income/(loss),,21,,-,,,-,,,-,,,-,,,(8 046),,,-,,,(8 046),,,(766),,,(8 812),
,Total comprehensive income/(loss),,,,-,,,-,,,-,,,-,,,(8 046),,,5 855,,,(2 191),,,795,,,(1 396),
,Dividends,,,,-,,,-,,,-,,,-,,,-,,,(1 764),,,(1 764),,,(1 414),,,(3 178),
,Treasury shares,,,,-,,,-,,,(421),,,-,,,-,,,(370),,,(791),,,-,,,(791),
,Share-based payments,,24,,-,,,-,,,-,,,495,,,-,,,-,,,495,,,20,,,515,
,Hyperinflation monetary adjustments,,,,-,,,-,,,-,,,-,,,-,,,642,,,642,,,398,,,1 040,
,Scope and other changes,,,,-,,,-,,,-,,,-,,,-,,,(1),,,(1),,,(165),,,(166),
,As per 31 December 2024,,,,1 736,,,17 620,,,(3 886),,,55 391,,,(39 201),,,46 577,,,78 237,,,10 463,,,88 700,
