0,1,2,3,4,5,6,7,8,9,10,11
,.,,,,,,,,,,
,Revenue,,,,,,,,,,
,Cost of sales,,,,,,,,,,
,Gross profit,,,,,,,,,,
,.,,,,,,,,,,
,Distribution expenses,,,,,,,,,,
,Sales and marketing expenses,,,,,,,,,,
,Administrative expenses,,,,,,,,,,
,Other operating income/(expenses),,,7,,,,,,,
,Profit from operations before non-underlying items,,,,,15 462,,,,14 590,
,.,,,,,,,,,,
,Non-underlying costs above profit from operations,,,8,,,,,,,
,Profit from operations,,,,,,15 487,,,13 966,
,.,,,,,,,,,,
,Finance expense,,,11,,(5 100),,,,(5 808),
,Finance income,,,11,,,,,,,
,Non-underlying net finance income/(expense),,,11,,,,,,,
,Net finance income/(expense),,,,,,(5 353),,,(5 102),
,,,,,,,,,,,
,Share of results of associates,,,16,,,,,,,
,Non-underlying share of results of associates,,,8 / 16,,,,,,,
,Profit before tax,,,,,,,,,,
