0,1,2
Patient Safety & Quality,Drive Patient Safety & Quality as highest priority in the organization,"Further strengthened our Patient Safety & Quality culture, capabilities and
performance. Significant progress made on managing the recall, and
addressing consent decree requirements."
Customer,Improve customer experience,Customer NPS significantly improved.
,Improve supply chain reliability,On-time delivery of orders as per customer expectations significantly improved.
Strategy and Execution,Drive focused strategy to win in the market,"Market share gains achieved in some Businesses. Solid progress on execution
priorities, with opportunities to accelerate growth strategies."
,"Establish simplified, more agile operating model","Targets for operating model simplification and the headcount reduction plan
were responsibly achieved."
ESG,Deliver on ESG Commitments,"ESG index realization significantly ahead of target. Employee engagement
significantly up ahead of target. Succession plans and talent development as
per plan."
Patient Safety & Quality,Drive Patient Safety & Quality as highest priority in the organization,"Further strengthened our Patient Safety & Quality culture, capabilities and
performance. Significant progress made on managing the recall, and
addressing consent decree requirements."
Customer,Improve customer experience,Customer NPS significantly improved.
,Improve financial forecasting,n/a
Strategy and Execution,Drive focused strategy to win in the market,Delivered on Cash- and Productivity programs as per plan
,"Establish simplified, more agile operating model","Targets for operating model simplification and the headcount reduction plan
were responsibly achieved."
ESG,Deliver on ESG Commitments,"ESG index realization significantly ahead of target. Employee engagement
significantly up ahead of target. Succession plans and talent development as
per plan."
